DN_HistogramMode_5,SB_BinaryStats_mean_longstretch1,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,SP_Summaries_welch_rect_area_5_1,labels
0.407690182257914,330.0,0.2934131736526946,-0.10999999999999999,0.999022665035414,L
0.2707623435862112,481.0,0.35542168674698793,0.45333333333333337,0.9990141138542619,R
-0.46549601297064847,296.0,0.3972602739726027,-0.055333333333333345,0.9989931546288136,L
0.05779820323161555,393.0,0.7288135593220338,-0.386,0.9992167437651585,R
0.2847563077732793,505.0,0.6532258064516129,-0.44199999999999995,0.9991987572451643,R
0.1845900034275193,390.0,0.46368715083798884,-0.06999999999999995,0.9990924438603274,L
0.24834847500718116,341.0,0.6776859504132231,-0.31666666666666665,0.9988911370882754,R
0.30062342395717323,362.0,0.26875,-0.10799999999999998,0.9987439751209787,L
0.2902175863400631,493.0,0.5,-0.2636666666666667,0.999135650721382,R
0.26834597877691135,502.0,0.6692307692307692,-0.3633333333333333,0.9992044720965161,R
0.36664996765507674,360.0,0.36477987421383645,-0.1286666666666667,0.9990964797553034,L
0.39800678152920854,619.0,0.36879432624113473,-0.33766666666666667,0.9992288967433399,R
0.2534261650260803,370.0,0.29411764705882354,0.08566666666666667,0.9990640463265882,R
0.30472992901746654,418.0,0.3591549295774648,0.30333333333333323,0.9991382800096632,L
0.302018782099873,383.0,0.2222222222222222,-0.1313333333333333,0.9990229704659,L
0.5689356656714113,517.0,0.3048780487804878,-0.43166666666666664,0.9991998085873737,R
0.2864901919996463,423.0,0.392,0.2633333333333334,0.9990757089681033,L
-0.5589899471887927,468.0,0.36,-0.39666666666666667,0.9990221163004108,R
0.3007447187981467,525.0,0.2897727272727273,0.41866666666666674,0.9991489507641114,R
0.5187175805766053,427.0,0.3048780487804878,0.07466666666666666,0.9991897676015208,L
0.517989672974791,520.0,0.29375,-0.492,0.9991585319649539,R
0.48435323386847506,456.0,0.3466666666666667,-0.364,0.9992186302103727,R
-0.31450856621975054,398.0,0.23414634146341465,0.20533333333333337,0.9990041593233498,L
-0.6391977290289326,391.0,0.3945578231292517,0.16933333333333334,0.9991624281237739,L
0.586584981381012,417.0,0.027777777777777776,-0.402,0.9985067573742537,R
0.46388655122398426,379.0,0.31210191082802546,-0.38,0.9991892930024983,R
0.4650743390543495,433.0,0.2727272727272727,-0.44099999999999995,0.999260536551326,R
0.08557203146929271,572.0,0.3680555555555556,-0.24250499666888736,0.9992355960807436,R
0.44443115442459513,370.0,0.3968253968253968,-0.20599999999999996,0.9992172717072451,R
0.5134006281170684,414.0,0.3767123287671233,0.1313333333333333,0.9990916193336594,L
